k;b0.9;b0.99;b0.999
170;0.2353127111619447;0.21789228087833307;0.2037592448863873
171;0.23163757812120384;0.21434499432885967;0.2003209237182102
172;0.22797034630475493;0.21080714906196757;0.19689331270141214
173;0.2243111055852262;0.2072788486290852;0.1934765267379155
174;0.22065994915308262;0.20376020071438522;0.19007068503700952
175;0.21701697398228703;0.20025131707657634;0.18667591158101182
176;0.213382280713885;0.19675231378173402;0.18329233500885272
177;0.2097559738888352;0.19326331149433928;0.17992008913994434
178;0.20613816206442515;0.18978443559369335;0.176559312915973
179;0.20252895833813972;0.18631581640674894;0.17321015075014518
180;0.1989284799984155;0.1828575893827324;0.16987275276001806
181;0.19533684922313238;0.17940989538418317;0.166547275058538
182;0.19175419302140623;0.17597288097799096;0.16323387998687078
183;0.1881806434664195;0.17254669861001953;0.1599327364636482
184;0.18461633827749757;0.16913150701255975;0.1566440202760057
185;0.18106142064548597;0.16572747132074528;0.15336791425420598
186;0.17751603987303471;0.16233476365462934;0.1501046089701304
187;0.1739803513745981;0.15895356329380683;0.14685430285369477
188;0.1704545174331345;0.15558405708486922;0.14361720271671768
189;0.16693870708369063;0.15222643996527235;0.14039352416037487
190;0.16343309687010193;0.1488809152543754;0.13718349209906766
191;0.15993787113603009;0.1455476951773097;0.13398734110966898
192;0.15645322231600162;0.14222700138884747;0.13080531624643094
193;0.1529793517503153;0.13891906543906357;0.12763767333202247
194;0.1495164699178726;0.13562412953003422;0.12448467988885292
195;0.14606479701825426;0.1323424469814995;0.12134661554652448
196;0.1426245638448353;0.12907428287114664;0.11822377303136347
197;0.1391960120758235;0.1258199150823482;0.11511645874849624
198;0.13577939526378907;0.12257963471161581;0.11202499377137981
199;0.13237497953415733;0.11935374717454578;0.10894971471491649
200;0.12898304434190766;0.11614257319534901;0.10589097484139978
201;0.1256038834611043;0.11294644962175857;0.10284914505004414
202;0.1222378060908412;0.10976573064739048;0.09982461515755403
203;0.11888513778656534;0.10660078915051965;0.09681779523689973
204;0.11554622156602162;0.10345201780002597;0.0938291169560937
205;0.11222141965548338;0.10031983080162352;0.09085903514979735
206;0.10891111453748961;0.097204665294845;0.08790802968196643
207;0.10561571058065988;0.09410698304106355;0.08497660719208042
208;0.10233563601875464;0.09102727275179909;0.0820653031906187
209;0.0990713447551129;0.08796605183494852;0.07917468438736674
210;0.09582331851633527;0.08492386901413018;0.07630535125255336
211;0.09259206929700625;0.08190130694802861;0.073457940694403
212;0.0893781419208308;0.07889898508257004;0.07063312931876475
213;0.08618211718384844;0.07591756302696667;0.06783163686336438
214;0.08300461517226956;0.07295774398796848;0.06505422986488693
215;0.07984629892955836;0.0700202794264764;0.062301726257381854
216;0.07670787870559181;0.06710597289924775;0.059575000087083774
217;0.07359011678789582;0.06421568593787;0.056874986809309316
218;0.07049383291495731;0.06135034369490386;0.05420268974950765
219;0.06741991050444418;0.058510941346725964;0.05155918668072608
220;0.06436930363812465;0.05569855230080903;0.04894563803089026
221;0.06134304503631652;0.05291433634479452;0.04636329573036861
222;0.058342255720359074;0.05015954989104067;0.04381351339831299
223;0.055368155489991994;0.047435557618154905;0.04129775821702142
224;0.05242207561262538;0.04474384550950969;0.038817624668946143
225;0.049505473433462566;0.04208603656931105;0.036374849961723604
226;0.04661994972138317;0.03946390892518099;0.033971332480003086
227;0.04376726886700125;0.03687941724857678;0.03160915332228102
228;0.0409493830970523;0.0343347176676696;0.029290600980949343
229;0.038168461752846536;0.031832198209951354;0.027018201377448328
230;0.03542692586561953;0.029374514367115252;0.02479475267044781
231;0.032727490939162746;0.026964632459763174;0.022623367165362937
232;0.030073218929264775;0.024605882198923353;0.020507522013226767
233;0.027467582737799402;0.022302021121930894;0.018451119339203792
234;0.024914546539297554;0.020057313638431086;0.016458560399149856
235;0.022418667760769;0.017876630099818165;0.014534835685071076
236;0.019985226768370612;0.015765570606929735;0.012685634995810345
237;0.0176203948547154;0.013730622461769301;0.010917484225050275
238;0.015331455369775909;0.011779361333181932;0.009237912882960924
239;0.013127097262117637;0.009920710921229106;0.007655660791603309
240;0.011017813335714166;0.008165280561621323;0.006180929134570419
241;0.009016448216865914;0.006525804577141784;0.0048256754534121305
242;0.007138965065508164;0.005017710675454116;0.003603935885245383
243;0.005405533127145406;0.0036598317705862195;0.0025321046759413306
244;0.0038420746596446584;0.0024752164081915645;0.0016289634003710503
245;0.0024824082557213445;0.0014917586306466713;0.000914872457997084
246;0.0013708414703588623;0.0007415408125607104;0.00040851016330025836
247;0.0005632583727429044;0.00025489007653151997;0.00011696941078699776
248;0.00011497527453575153;3.6009190291629175e-05;1.1352366970337114e-05
249;1.599964442095021e-06;1.5996512163674924e-07;1.5959368824842387e-08
